date,month,time_class,color,outcome,my_rating,opp_rating,opp_name,accuracy,opening,url
2023-09-20,2023-09,rapid,white,Win,1340,1295,asujow,,Indian Game East Indian London System 3...Bg7 4.Nc3,https://www.chess.com/game/live/88933328349
2023-09-20,2023-09,rapid,white,Win,1348,1322,Loscho3,,Queens Pawn Opening Chigorin Variation 2...e6 3.Bf4,https://www.chess.com/game/live/88933860515
2023-09-20,2023-09,rapid,black,Win,1355,1312,Sriram948,,Kings Pawn Opening 1...e5,https://www.chess.com/game/live/88934454147
2023-09-20,2023-09,rapid,black,Loss,1347,1349,jayfantasykauai,,Queens Pawn Opening Zukertort Variation 2...Bf5 3.e3,https://www.chess.com/game/live/88935071785
2023-09-24,2023-09,rapid,black,Loss,1338,1328,valchan13,,Kings Gambit 2...d6,https://www.chess.com/game/live/89314250831
2023-10-05,2023-10,rapid,white,Win,1346,1336,chubs2525,,Queens Pawn Opening Accelerated London System,https://www.chess.com/game/live/90259229391
2023-10-05,2023-10,rapid,black,Draw,1346,1352,timmmzz,,Philidor Defense 3.Bc4,https://www.chess.com/game/live/90259760205
2023-10-05,2023-10,rapid,white,Win,1353,1292,hossamelcoach,,Queens Pawn Opening Chigorin Variation 2...e6 3.Bf4,https://www.chess.com/game/live/90260421459
2023-10-05,2023-10,rapid,white,Win,1361,1349,Osiris-1717,,Queens Pawn Opening Chigorin Variation 2...Nf6 3.Bf4 c6,https://www.chess.com/game/live/90260908983
2023-10-05,2023-10,rapid,black,Win,1369,1352,abhaychess123,,Kings Pawn Opening 1...e5,https://www.chess.com/game/live/90260981683
2023-10-05,2023-10,rapid,black,Loss,1361,1395,Guiperrr,,Bishops Opening Boi Variation 3.Nf3,https://www.chess.com/game/live/90262127355
2023-10-07,2023-10,rapid,white,Win,1368,1330,Judson_dru,,Queens Pawn Opening Horwitz Defense 2.Bf4 c5,https://www.chess.com/game/live/90401938331
2023-10-07,2023-10,rapid,white,Loss,1360,1388,mohammad12345678901,,Queens Pawn Opening Chigorin Variation 2...e6 3.Bf4,https://www.chess.com/game/live/90429051231
2023-10-08,2023-10,rapid,black,Loss,1352,1352,mschfff,,Pirc Defense Modern Defense Geller System 2...Nf6 3.Nc3 e5 4.Bc4,https://www.chess.com/game/live/90521401203
2023-10-08,2023-10,rapid,black,Win,1360,1347,amrozzzzzzz,,Philidor Defense 3.Bc4,https://www.chess.com/game/live/90521467881
